isotype,n,mean_n_mut_H,std_n_mut_H,median_n_mut_H
Other,16,12.25,9.125057077447059,11.0
,47290,13.305751744554874,6.787528844353221,13.0
IgM,839304,13.76825917665113,6.8584067708813,13.0
IgD,36,14.5,12.641202474448386,14.0
IgE,721,19.700416088765603,9.304067948063643,19.0
IgA,378080,21.227951756242064,10.55253687986018,21.0
IgG,252464,21.96434343114266,10.225603247673195,21.0
