param,lambda_step5,lambda_endpoints,ci_lo_step5,ci_hi_step5,ci_lo_endpoints,ci_hi_endpoints
λ_S,0.0026763673135881487,0.0,0.0024632088974691183,0.002911901323889876,0.0,0.0005351623206076531
λ_R,0.0,0.0,0.0,0.0,0.0,0.0
