v_gene,phi_S_n,phi_A_n,phi_R_n
IGHV4-39,0.0595808422342509,0.11890852374394999,0.45175844881704097
IGHV4-39,0.0,0.31271645008661253,0.5163851487831379
IGHV4-39,0.13973732023097413,0.06362205315268774,0.4556160179790611
IGHV4-39,0.1629638556275498,0.11890852374394999,0.31804564384343553
IGHV4-39,0.02688710419255349,0.16278609890879728,0.44410692336949426
IGHV4-39,0.10969448182338006,0.13863931107322508,0.3480667567780784
IGHV4-39,0.050618474170066395,0.13863931107322508,0.5122090532167501
IGHV4-39,0.18404432597095935,0.19391314685253516,0.3179951363384143
IGHV4-39,0.035849472256737985,0.13863931107322508,0.6138946700761748
IGHV4-39,0.2399645994092325,0.22110098419355317,0.29577891051408123
IGHV4-39,0.06854321029843541,0.10222555180886596,0.5599755856875266
IGHV4-39,0.017924736128368993,0.19391314685253516,0.46376116419898633
IGHV4-39,0.035849472256737985,0.13863931107322508,0.604238109629632
IGHV4-39,0.05642510801921032,0.16278609890879728,0.40834084761440975
IGHV4-39,0.1012369483401328,0.07502568358755965,0.5283808610292584
IGHV4-39,0.0595808422342509,0.11890852374394999,0.4417813693649421
IGHV4-39,0.050618474170066395,0.13863931107322508,0.43700825881235345
IGHV4-39,0.15766205635934313,0.04388810642886791,0.48728283643569353
IGHV4-39,0.2257004320768413,0.035224348284423,0.5156317524992774
IGHV4-39,0.044811840320922475,0.11890852374394999,0.6376203059696879
IGHV4-39,0.15135058792926198,0.08777357956135062,0.3879522841192792
IGHV4-39,0.3290834454701401,0.035224348284423,0.4277922468845846
IGHV4-39,0.25523843590349804,0.035224348284423,0.4750817415632519
IGHV4-39,0.008962368064184496,0.23777493472362723,0.6176905838883247
IGHV4-39,0.06854321029843541,0.10222555180886596,0.49663000221214304
IGHV4-39,0.11285021603842064,0.10222555180886596,0.3975634622505598
IGHV4-39,0.03850037189084134,0.23777493472362723,0.35888038157280194
IGHV4-39,0.14289305444601472,0.04388810642886791,0.5185214943272353
IGHV4-39,0.2257004320768413,0.035224348284423,0.4935758359166318
IGHV4-39,0.2257004320768413,0.27416163699056617,0.3089366425174806
IGHV4-39,0.0,1.0,0.4906105355306106
IGHV4-39,0.08596311184586716,0.16278609890879728,0.31804564384343553
IGHV4-39,0.2198937982276974,0.02720287761399007,0.5775251961314987
IGHV4-39,0.16031295599344647,0.07502568358755965,0.3335492098105285
IGHV4-39,0.0,0.31271645008661253,0.5065195782612765
IGHV4-39,0.035849472256737985,0.13863931107322508,0.5777617436451548
IGHV4-39,0.0922745802759483,0.08777357956135062,0.5133530995973861
IGHV4-39,0.0,0.31271645008661253,0.4979952156118583
IGHV4-39,0.2731631720318671,0.019735000080812835,0.43206632450072213
IGHV4-39,0.0416561061058819,0.16278609890879728,0.44097075420753706
IGHV4-39,0.047462739955025826,0.19391314685253516,0.35573586376782645
IGHV4-39,0.02373136997751291,0.23777493472362723,0.3951598281096286
IGHV4-39,0.008962368064184496,0.23777493472362723,0.46376116419898633
IGHV4-39,0.16927532405763096,0.06362205315268774,0.37303817625437174
IGHV4-39,0.13342585180089298,0.11890852374394999,0.36481899895078185
IGHV4-39,0.6397373202309742,0.0,0.5596341835005687
IGHV4-39,0.6450391194991809,0.32544331678343913,0.28534370164147627
IGHV4-39,0.12231741868354236,0.035224348284423,0.5289677387784649
IGHV4-39,0.014769001913328417,0.31271645008661253,0.4147568601586992
IGHV4-39,0.05642510801921032,0.16278609890879728,0.38966402359838453
IGHV4-39,0.0,0.31271645008661253,0.44904407156744225
IGHV4-39,0.014769001913328417,0.31271645008661253,0.3858448290163868
IGHV4-39,0.1160059502534612,0.07502568358755965,0.5250328216397154
IGHV4-39,0.12181258410260513,0.08777357956135062,0.4367820279692534
IGHV4-39,0.017924736128368993,0.19391314685253516,0.45238344192769203
IGHV4-39,0.1160059502534612,0.07502568358755965,0.4371595789040246
IGHV4-39,0.03269373804169741,0.19391314685253516,0.39275570630777495
IGHV4-39,0.047462739955025826,0.19391314685253516,0.3257779710290333
IGHV4-39,0.10704358218927673,0.08777357956135062,0.4982851460718557
IGHV4-39,0.06854321029843541,0.10222555180886596,0.41259350758561775
IGHV4-39,0.2642008039676826,0.02720287761399007,0.4608140952302371
IGHV4-39,0.3438524473834686,0.035224348284423,0.42306795371722433
IGHV4-39,0.08015647799672324,0.13863931107322508,0.3967364892067394
IGHV4-39,0.23466280014102578,0.02720287761399007,0.5088512052861972
IGHV4-39,0.2963897074284428,0.18251372785779824,0.3060837653341783
IGHV4-39,0.035849472256737985,0.13863931107322508,0.5582391840517503
IGHV4-39,0.26950260323588926,0.22110098419355317,0.2872193215536565
IGHV4-39,0.0595808422342509,0.11890852374394999,0.4352292630498075
IGHV4-39,0.31696534319091507,0.06362205315268774,0.31825120858568695
IGHV4-39,0.044811840320922475,0.11890852374394999,0.5940153065305482
IGHV4-39,0.0595808422342509,0.11890852374394999,0.40383139104547416
IGHV4-39,0.1012369483401328,0.07502568358755965,0.525636322925416
IGHV4-39,0.18720006018599994,0.04388810642886791,0.3272111455958204
IGHV4-39,0.09492547991005165,0.13863931107322508,0.3939457853850727
IGHV4-39,0.17243105827267155,0.04388810642886791,0.34498487830732405
IGHV4-39,0.35281481544765303,0.02720287761399007,0.3303247829427258
IGHV4-39,0.3855085534893505,0.012749212613976702,0.6158627580766022
IGHV3-64D,0.1160059502534612,0.07502568358755965,0.4379342904410554
IGHV3-64D,0.10388784797423614,0.11890852374394999,0.41283273895325456
IGHV3-64D,0.02953800382665683,1.0,0.5026575774105466
IGHV3-64D,0.0416561061058819,0.16278609890879728,0.4564062193202585
IGHV3-64D,0.28162070551511437,0.053306032556634346,0.4016340499212642
IGHV3-64D,0.1571572217784059,0.23777493472362723,0.3237146328713382
IGHV3-64D,0.33438524473834685,0.10222555180886596,0.40140289422182457
IGHV3-64D,0.10969448182338006,0.28162094681234334,0.4065311756088644
IGHV3-64D,0.2167380640126568,0.04388810642886791,0.5518481493086713
IGHV3-64D,0.18088859175591882,0.22110098419355317,0.3237146328713382
IGHV3-64D,0.06803837571749816,0.23777493472362723,0.4405874373023013
IGHV3-64D,0.1392324856500369,0.28162094681234334,0.36102832856767775
IGHV3-64D,0.09808121412509223,0.10222555180886596,0.5425875564980644
IGHV3-64D,0.31431444355681176,0.035224348284423,0.466675361280126
IGHV3-64D,0.21042659558257562,0.08777357956135062,0.41283273895325456
IGHV3-64D,0.09492547991005165,0.28162094681234334,0.40725856706102076
IGHV3-64D,0.0595808422342509,0.11890852374394999,0.5610247425469952
IGHV3-64D,0.1956575936692472,0.08777357956135062,0.42589765644108746
IGHV3-64D,0.12130774952166791,0.19391314685253516,0.41062840393810196
IGHV3-64D,0.44092399234668633,0.07502568358755965,0.38367012804561285
IGHV3-64D,0.2404694339901697,0.035224348284423,0.5107751877577372
IGHV3-64D,0.0595808422342509,0.11890852374394999,0.49536217346652894
IGHV3-64D,0.06223174186835425,0.19391314685253516,0.44295106940623663
IGHV3-64D,0.1101993164043173,0.06362205315268774,0.5724081359146729
IGHV3-64D,0.09808121412509223,0.10222555180886596,0.5191096163044959
IGHV3-64D,0.08066131257766046,0.06362205315268774,0.5742765132783771
IGHV3-64D,0.19300669403514387,0.053306032556634346,0.6044479814235844
IGHV3-64D,0.008962368064184496,0.23777493472362723,0.5504191358185936
IGHV3-64D,0.22254469786180073,0.053306032556634346,0.40846844151589085
IGHV3-64D,0.02953800382665683,0.31271645008661253,0.521585784665477
IGHV3-64D,0.1629638556275498,0.11890852374394999,0.4109151686958925
IGHV3-64D,0.13973732023097413,0.06362205315268774,0.5047394096951405
IGHV3-64D,0.19300669403514387,0.053306032556634346,0.46119643431250656
IGHV3-64D,0.16927532405763096,0.06362205315268774,0.4372020912741736
IGHV3-64D,0.09176974569501108,0.19391314685253516,0.41500537644294067
IGHV3-64D,0.12761921795174905,0.10222555180886596,0.41283273895325456
IGHV3-64D,0.1481948537142214,0.25749309461253356,0.3704418258358846
IGHV3-64D,0.7135823297976163,0.0,0.5589307001810815
IGHV3-64D,0.07119410993253875,0.16278609890879728,0.4242116917849111
IGHV3-64D,0.03850037189084134,0.4312680565175427,0.4798454193169013
IGHV3-64D,0.03269373804169741,0.19391314685253516,0.49814914776231867
IGHV3-64D,0.02953800382665683,0.31271645008661253,0.49814914776231867
IGHV3-64D,0.0416561061058819,0.16278609890879728,0.4526327242067404
IGHV3-64D,0.402423620455845,0.08777357956135062,0.3867734794096109
IGHV3-64D,0.017924736128368993,0.19391314685253516,0.5301299644742817
IGHV3-64D,0.2193889636467601,0.07502568358755965,0.4182915228288402
IGHV3-64D,0.12130774952166791,0.19391314685253516,0.3776315454339683
IGHV3-43,0.231002231345048,0.10222555180886596,0.37392243944993403
IGHV3-43,0.0595808422342509,0.11890852374394999,0.5809950870095205
IGHV3-43,0.02373136997751291,0.23777493472362723,0.5353213348612953
IGHV3-43,0.38500371890841323,0.053306032556634346,0.5206005253922636
IGHV3-43,0.21623322943171955,0.10222555180886596,0.381585630441925
IGHV3-43,0.06223174186835425,0.19391314685253516,0.4342113439645928
IGHV3-43,0.0,0.31271645008661253,0.4991458162669725
IGHV3-43,0.2193889636467601,0.07502568358755965,0.4694364063439051
IGHV3-43,0.34650334701757185,0.06362205315268774,0.45976309793316716
IGHV3-43,0.02953800382665683,0.31271645008661253,0.49620988508701414
IGHV3-43,0.047462739955025826,0.19391314685253516,0.5107089804769673
IGHV3-43,0.10969448182338006,0.28162094681234334,0.39615536484062774
IGHV3-43,0.05642510801921032,0.16278609890879728,0.5235571760919954
IGHV3-43,0.05642510801921032,0.16278609890879728,0.5039526013891408
IGHV3-43,0.18669522560506271,0.10222555180886596,0.44090737362723653
IGHV3-43,0.06538747608339482,0.13863931107322508,0.4513355575013001
IGHV3-43,0.23415796556008855,0.07502568358755965,0.40456663380483016
IGHV3-43,0.1750819579067749,0.07502568358755965,0.5981038102325138
IGHV3-43,0.008962368064184496,0.23777493472362723,0.5472627751439265
IGHV3-43,0.0416561061058819,0.16278609890879728,0.5517249415643083
IGHV3-43,0.014769001913328417,1.0,0.47616391052383883
IGHV3-43,0.12761921795174905,0.10222555180886596,0.500831952715148
IGHV3-43,0.5268871041925535,0.04388810642886791,0.5107166234433559
IGHV3-43,0.15135058792926198,0.08777357956135062,0.47478301300766973
IGHV3-43,0.07119410993253875,0.31271645008661253,0.4321498671772674
IGHV3-43,0.06803837571749816,0.4312680565175427,0.41648202140197416
IGHV3-43,0.0886140114799705,0.31271645008661253,0.4027053321771165
IGHV3-43,0.10388784797423614,0.11890852374394999,0.5702243527496936
IGHV3-43,0.02688710419255349,0.16278609890879728,0.6301862270355615
IGHV3-43,0.2046199617334317,0.2763459625452643,0.38699049903213867
IGHV3-43,0.03269373804169741,0.19391314685253516,0.5276242150181405
IGHV3-43,0.1629638556275498,0.11890852374394999,0.4550919169802527
IGHV3-43,0.11285021603842064,0.10222555180886596,0.6204068660474737
IGHV3-43,0.18669522560506271,0.23777493472362723,0.3944584318515687
IGHV3-43,0.02953800382665683,0.31271645008661253,0.47001550991851737
IGHV3-43,0.21307749521667899,0.28162094681234334,0.3403504766355052
IGHV3-43,0.20146422751839113,0.10222555180886596,0.40206007646639963
IGHV3-43,0.2515778671075203,0.11890852374394999,0.36886959363819344
IGHV3-43,0.2426154990433358,0.13863931107322508,0.36886959363819344
IGHV3-43,0.047462739955025826,0.19391314685253516,0.4944807533139151
IGHV3-43,0.02688710419255349,0.16278609890879728,0.5660751760891253
IGHV3-43,0.23680886519419192,0.25749309461253356,0.3728836598584498
IGHV3-43,0.0416561061058819,0.16278609890879728,0.5473474400934495
IGHV3-43,0.05326937380416975,0.23777493472362723,0.4394086057199922
IGHV3-43,0.12181258410260513,0.08777357956135062,0.609650652252121
IGHV3-43,0.28692250478332104,0.28162094681234334,0.31899300576566003
IGHV3-43,0.10969448182338006,0.13863931107322508,0.40378406283237006
IGHV3-43,0.1956575936692472,0.29301090144105,0.3645907325787353
IGHV3-43,0.29323397321340217,0.07502568358755965,0.38771275636059843
IGHV3-43,0.22835133171094463,0.06362205315268774,0.4654534789188906
IGHV3-43,0.39030551817661996,0.13863931107322508,0.31870382605188996
IGHV3-43,0.6687704894766938,0.035224348284423,0.48394080265184736
IGHV3-43,0.07384500956664208,0.31271645008661253,0.4272663824920572
IGHV3-43,0.2046199617334317,0.07502568358755965,0.47478301300766973
IGHV3-43,0.06538747608339482,0.13863931107322508,0.4392538616757424
IGHV3-43,0.34650334701757185,0.06362205315268774,0.42142051495012456
IGHV3-43,0.1392324856500369,0.28162094681234334,0.37053008010251554
IGHV3-43,0.07700074378168266,0.19391314685253516,0.4099863066612021
IGHV3-20,0.07434984414757932,0.11890852374394999,0.6923773186992392
IGHV3-20,0.07119410993253875,0.16278609890879728,0.6535022788454051
IGHV3-20,0.03850037189084134,0.23777493472362723,0.6102477801658617
IGHV3-20,0.15135058792926198,0.08777357956135062,0.7364477354485296
IGHV3-20,0.06803837571749816,0.23777493472362723,0.5530968841116543
IGHV3-20,0.11865684988756457,0.25749309461253356,0.4147128785381684
IGHV3-20,0.03850037189084134,0.23777493472362723,0.6045303636360025
IGHV3-20,0.08015647799672324,0.13863931107322508,0.6874004950125893
