v_gene,n,mean_alpha,mean_beta,mean_gamma,std_alpha,std_beta,std_gamma,x_mean,y_mean,cov_xx,cov_xy,cov_yy
IGHV3-23,141121,0.9602201779375128,0.038859169102263814,0.0009206529602232978,0.06469636961642851,0.06423483664064178,0.005987145545753917,0.4810307419289798,0.8315750673203001,0.0010345823458037615,0.0017711506900883512,0.003139237426164687
IGHV5-51,122405,0.9402942084326066,0.05116408198861504,0.008541709578778362,0.08533349334858456,0.08219460356382376,0.02056452638594828,0.4786888137950816,0.8143186715340174,0.0017689894804161028,0.002742314841804853,0.005461398432750326
IGHV3-74,104696,0.9468016697256361,0.05316226959397206,0.00003606068039194628,0.08207099778929572,0.08206010366239759,0.0009467414236497882,0.47343689554320995,0.8199542983279245,0.0016834823763908111,0.00291548690775109,0.005051784760534605
IGHV1-18,93685,0.9500395508671079,0.04229453834860216,0.007665910784290199,0.07411133557071477,0.06932464976098758,0.019873934058597442,0.482685686217844,0.8227583856508736,0.0012273307453168029,0.0019100107543106174,0.004119411515932294
IGHV1-2,79141,0.9366846527428057,0.0525260955875423,0.010789251669652061,0.1060241500413996,0.10560000799516676,0.019364916905477775,0.4791315780410549,0.8111927046102749,0.002952938062034687,0.004666360451030787,0.008430946824709701
IGHV4-39,77666,0.951406647666031,0.040304955014562306,0.00828839731940677,0.07721224311697504,0.07305060040547251,0.020539306730949423,0.4839917211524222,0.8239423262081736,0.0013887119290698928,0.0021280800579001275,0.004471355436960363
IGHV3-7,76186,0.9497981333228841,0.049902737343429246,0.000299129333686612,0.07954366056696484,0.07938437639822919,0.0032932949978290555,0.47519819599512864,0.822549311924657,0.0015745846875793452,0.0027241331370521805,0.004745457740086636
IGHV1-3,54044,0.9394655876528836,0.03913793399754334,0.021396478349573103,0.08675707127487717,0.07441314778584777,0.03284136864341616,0.49112927217601493,0.8136010648886733,0.0014262650656494662,0.0019307359028497449,0.005645196517709897
IGHV3-21,53495,0.9103954950470562,0.06528486694856038,0.02431963800438341,0.08963172523347021,0.07980878128676565,0.03974649715383999,0.4795173855279115,0.7884256262016607,0.001966188015770303,0.0020740213205200538,0.006025497262890083
IGHV3-48,50180,0.9416891846372747,0.054918877749360974,0.0033919376133643635,0.08975889844581009,0.08815016719921914,0.01328188745653569,0.4742365299320017,0.8155267563649345,0.001959304338800769,0.00328838280121375,0.0060426153064523916
IGHV1-69,45756,0.8816329398606162,0.03601278021179697,0.0823542799275868,0.08684294394679314,0.055493819036222525,0.05520827011197625,0.5231707498578949,0.7635165227324517,0.0011783600447807599,0.00001368820412293307,0.005656396305874544
IGHV3-53,43135,0.9351588229404157,0.0515213417484903,0.013319835311093991,0.08591119373220737,0.07982018170940001,0.026346449832965437,0.48089924678130186,0.8098712972395539,0.0016875542339585552,0.0024583246550325642,0.005535678240164483
IGHV1-46,42520,0.9383377400843472,0.044477668856559155,0.017184591059093673,0.07807362050624748,0.06928721812525913,0.02810101252466146,0.4863534611012673,0.8126243202427242,0.0012713500955351064,0.0017368771784628488,0.004571725183622113
IGHV3-30,41970,0.9334186814101377,0.0487472109172335,0.017834107672628646,0.08333549976809869,0.07522272445732227,0.029136458887271517,0.4845434483776975,0.8083642904681528,0.0015175305327423938,0.002082635053642518,0.005208728247185436
IGHV2-5,39547,0.9208656842790482,0.06899881814060418,0.010135497580347604,0.1081720666133633,0.10679034367036026,0.02446813544958393,0.4705683397198717,0.7974930760589961,0.0030762123641931956,0.004679031804416664,0.008776118912727922
IGHV3-33,33083,0.9230961094228679,0.04995214600820625,0.026951744568925823,0.08838043958853695,0.07742613035757734,0.03506539576628473,0.4884997992803598,0.7994246808947835,0.001659468456492621,0.0020634647539803743,0.005858503661415596
IGHV1-8,27710,0.9145925659772136,0.05886805970548607,0.02653937431730023,0.10485902632126627,0.0933078607353124,0.042348565571367625,0.4838356573059071,0.7920603962486623,0.002501115350603403,0.0029935057287171062,0.00824685916388889
IGHV4-34,26680,0.8622269401028504,0.05045385396029038,0.08731920593685931,0.10828485482518709,0.07666365895120571,0.06651309154006228,0.5184326759882844,0.746710433956392,0.0022193347123337643,0.0006293318846602238,0.008794536968705049
IGHV4-31,25353,0.9233724735113676,0.04156602703008963,0.0350614994585427,0.09315868598638836,0.08026418779864508,0.039255020507439904,0.4967477362142265,0.799664019216118,0.0018220849139419786,0.0021224449016077544,0.00650916232233854
IGHV4-59,25149,0.9432434436242707,0.0514993910682555,0.0052571653074739025,0.08412537086315547,0.08207770506624594,0.016503732668846163,0.47687888711960924,0.8168727841317334,0.001735360927935512,0.0027992684316724436,0.005308019579996205
IGHV7-4-1,24718,0.9371289176418263,0.05401667167930461,0.008854410678869218,0.09328507957520364,0.08886562625631508,0.02361571323259493,0.47741886949978235,0.8115774492988365,0.002051957217562053,0.0031781809706173704,0.006526843605767711
IGHV4-4,22739,0.9506585849464546,0.04075567489166211,0.008585740161883326,0.07318822105217994,0.06813321960804404,0.020798523788479583,0.4839150326351106,0.8232944848893963,0.0011982808749400246,0.0018228718250244298,0.004017563457211468
IGHV3-9,22669,0.929380550030192,0.05738156895645342,0.013237881013354469,0.0977992678486697,0.09160797358003608,0.024865935822696566,0.47792815602845057,0.8048671661093009,0.0021140868548930975,0.0033662619606384314,0.007173839054124521
IGHV3-15,21941,0.9475895856196344,0.03901601672596775,0.013394397654397911,0.07418126015079268,0.06649461989735297,0.027439438566859792,0.48718919046421505,0.8206366535081727,0.0012115690120962075,0.0015886278630671883,0.004127332628676439
IGHV6-1,20566,0.9247524715810687,0.07251019724388826,0.0027373311750430868,0.10214064962130551,0.10116412120096155,0.012545727967051768,0.46511356696557743,0.8008591326016525,0.002587735103910194,0.00436358769654729,0.007824914706998943
IGHV3-72,13522,0.9623812536844023,0.03761874631559787,0.0,0.06394405247005545,0.06394405247005545,0.0,0.48119062684220115,0.8334466138166087,0.0010222860632641214,0.0017706514014430286,0.003066858189792361
IGHV5-10-1,13428,0.9004522073102861,0.04634217934262379,0.053205613347090015,0.0953631753045632,0.07665571881773309,0.051715358553767965,0.5034317170022331,0.7798144864244796,0.0020019040521672008,0.001386445774111694,0.006821109379696471
IGHV2-70,12153,0.8934508307209656,0.0654567224387188,0.041092446840315495,0.11248701169979407,0.09791299606689553,0.04584511115108196,0.4878178622007983,0.7737511164366665,0.002681253182137068,0.0032414449878495643,0.009490776791929587
IGHV4-38-2,11334,0.9323441081476058,0.060121337123857505,0.007534554728536605,0.09107976987931918,0.08882830986806313,0.019142087059574604,0.4737066088023395,0.8074336827245727,0.002054744235486871,0.0032582963258150368,0.006222192345630756
IGHV3-49,10319,0.942069019093439,0.051163115370572256,0.006767865535988651,0.0760893456952489,0.07360975902988683,0.018104137769579174,0.4778023750827082,0.8158557026532056,0.0014258192564958199,0.0022045240411773257,0.0043426122327860465
IGHV3-11,8914,0.9455830204161261,0.044146435872806485,0.010270543711067453,0.08376963519692712,0.07728249126442577,0.02455559455129384,0.48306205391913043,0.8188989170675847,0.001533614440240943,0.002325368569746666,0.005263604323129244
IGHV1-24,7738,0.8913646284057238,0.03459840321391213,0.07403696838036401,0.10275920977033584,0.06960137079599109,0.06614244057606822,0.519719282583226,0.771944412234233,0.001969977417694315,0.00020333802653433683,0.007920614994234552
IGHV4-NL1,7720,0.9441133019022454,0.05498461928334711,0.0009020788144075022,0.0901109496063009,0.08965156909863504,0.0059261803722745025,0.47295872976553016,0.8176261034981517,0.0020065258307610844,0.003465539618989945,0.006090776389884248
IGHV2-26,6943,0.850895547059946,0.04843954996872697,0.10066490297132698,0.10279480065309804,0.07684790170115367,0.06315036086723755,0.5261126765012999,0.7368971597209706,0.0023054233264641266,0.0008304785919348494,0.0079262198941029
IGHV3-30-3,6722,0.9090937113191021,0.04392140497446244,0.046984883706435436,0.09122221957592162,0.07552932342121917,0.046316863568065435,0.5015317393659865,0.7872982484230193,0.0018448663895423178,0.0015415063582138238,0.006242048608180202
IGHV3-13,6392,0.9607359357144227,0.03468776263063913,0.004576301654938066,0.05966530194843066,0.0580639777755231,0.01475509916378998,0.4849442695121495,0.8320217266573036,0.0009047237090800566,0.0013658112733405273,0.00267037896137192
IGHV3-66,6086,0.9390800017102977,0.05541036272971454,0.0055096355599876965,0.09457625724840017,0.09156722996453179,0.015632486018579122,0.47504963641513653,0.8132671376670519,0.0020786405470886887,0.003525381888818376,0.006709603791632707
IGHV4-61,6048,0.928690888488252,0.05443061212249279,0.01687849938925509,0.09443028627143087,0.0879240631587711,0.030941171531247307,0.48122394363338117,0.8042699016939676,0.0021150784630650675,0.002933403366538349,0.006688915195406093
IGHV3-73,5420,0.943815718116207,0.05044654377606023,0.0057377381077327845,0.08321344790518052,0.0812125938131406,0.015564900688721421,0.4776455971658362,0.817368388379688,0.0016880677371989424,0.0027515323004491886,0.005194316795233482
IGHV3-43,4175,0.9512705889858234,0.044830408006203464,0.0038990030079731133,0.07234671901326901,0.06966910902184759,0.013490668857843504,0.47953429750088483,0.8238244959347085,0.001209669252207065,0.0020234275940993088,0.003926476287350917
IGHV3-64D,3164,0.9626035039553823,0.03388497681366727,0.0035115192309505207,0.061676737332480074,0.059603170047351814,0.012000008813023565,0.4848132712086416,0.8336390881972754,0.000897547738620362,0.0014764067318539724,0.002853916942490011
IGHV1-58,2812,0.9231153797989395,0.03355133854153527,0.043333281659525096,0.07916993261917395,0.06110888614562958,0.04544778197215716,0.504890971558995,0.7994413695300021,0.0013334030515049769,0.0007228665313075495,0.004702580999295573
IGHV2-70D,2675,0.9172497944745821,0.07959773662814322,0.003152468897274796,0.1060479699572419,0.10507080926554137,0.012699349612572668,0.46177736613456577,0.794361623631043,0.00279007425554933,0.004712334239564728,0.00843778326053832
IGHV3-20,2513,0.9025256521119476,0.05461463639992473,0.04285971148812784,0.09523700538138802,0.08001067983084582,0.04405375902676492,0.49412253754410157,0.7816101422960631,0.0019044573293401058,0.0019324278980567603,0.006805273423136501
IGHV3-64,2117,0.9474339357710099,0.047602620582102476,0.004963443646887669,0.09894121723463903,0.09609846128761487,0.014207034381166337,0.4786804115323926,0.8205018567851686,0.002272109195305882,0.003913284472610455,0.007345493116192721
IGHV4-30-4,1445,0.9405674110221667,0.03245974444155705,0.026972844536276422,0.07560628364285216,0.05477156593005865,0.03914554393965123,0.49725655004735964,0.8145552719169559,0.0008376511802081772,0.0006359082224019148,0.004290201592354325
IGHV1-69-2,787,0.884284003935396,0.036925999175392146,0.07878999688921184,0.09309185291857505,0.06370629421649185,0.054724522717914954,0.5209319988569099,0.7658124115682714,0.0013618398038621308,0.0004611896470839267,0.006507838982646289
IGHV3-43D,658,0.8918060924333365,0.049773431607762514,0.05842047595890088,0.0923693275303959,0.07331369738752795,0.04702491546779286,0.5043235221755692,0.7723267312970028,0.001662624066883332,0.0013719447586679335,0.006408809333126427
IGHV4-30-2,449,0.9358657350508531,0.048455231427644664,0.015679033521502222,0.09105007559532097,0.0803678691675621,0.033362450631423034,0.48361190104692875,0.8104835010854355,0.0017173194517818614,0.0023200275781324283,0.006231465742291137
IGHV4-28,401,0.9510504806883957,0.04706185516038359,0.001887664151220674,0.07399413736410462,0.07382776665076694,0.008143043349949922,0.4774129044954185,0.8236338765575523,0.001393115153382019,0.002337268568416569,0.004116615146376472
IGHV1-45,184,0.9680250668108591,0.02993619741278888,0.002038735776351965,0.04053166391678588,0.03409105244894701,0.011845432558087968,0.4860512691817815,0.8383342993583326,0.00024186761773920833,0.0004449074130785181,0.0012388446864542795
IGHV3-69-1,144,0.9422618449188975,0.04736698139844461,0.010371173682657768,0.08271381471005297,0.07646413261175292,0.026008015874869325,0.4815020961421066,0.8160226947165583,0.0015620439745362969,0.002254481912757176,0.005167063745035028
IGHV3-NL1,116,0.9625448166861638,0.03525042167060506,0.002204761643231018,0.028911923267987995,0.029344121930102583,0.00504058749838562,0.4834771699863129,0.8335882635312535,0.00023630479058899591,0.0003650022827953854,0.0006323759975104366
