depth_bin,depth_lo,depth_hi,depth_mid,n_edges,var_v_A,var_v_S,var_v_R,T_eff
1–5,0,5,2.5,164,1.158759340697696,0.07306782964119893,0.010710208390242377,0.4141791262430457
6–10,5,10,7.5,1437,0.9310059092663717,0.13808506773425558,0.024913295158126483,0.36466809071958467
11–15,10,15,12.5,2381,0.6479019191081828,0.23363678193459314,0.030105687347602845,0.30388146279679296
16–20,15,20,17.5,2040,0.5926958014757758,0.27945407142224044,0.03071844822369496,0.3009561070405704
21–25,20,25,22.5,1216,0.45809820935257517,0.3978392619503474,0.026391751016065702,0.2941097407729961
26–30,25,30,27.5,648,0.360520263758215,0.4072684870032808,0.02213040076717406,0.26330638384288996
31+,30,999,31.0,410,0.25231941146441506,1.093064271097939,0.016411715892118216,0.45393179948482415
