isotype_class,mean_alpha,mean_beta,mean_gamma,std_alpha,std_beta,std_gamma,n
IgM,0.9273533900550736,0.057794466640454484,0.01485214330447194,0.09797633901438504,0.09069352091403536,0.03485769445028124,807553
IgA,0.9487770909461581,0.03694972565882556,0.014273183395016233,0.07394485394562621,0.0641861103704398,0.03188733480180194,363824
IgG,0.9492073983945576,0.034315695747730295,0.016476905857712103,0.06529208840442403,0.054255102414513166,0.03217497615419321,242978
other,0.9235652623584371,0.05918127676612091,0.017253460875442037,0.10008768924969001,0.09286275664531121,0.03653167811667135,45469
IgE,0.9422967433690936,0.04006315381839855,0.017640102812507757,0.09500635500469462,0.08403224782669509,0.03613980312480175,696
IgD,0.9261553460357745,0.054365418923276225,0.019479235040949117,0.12598647717525735,0.10699221630876382,0.027540892860290846,30
