isotype_class,mean_phi_A,median_phi_A,std_phi_A,mean_delta_RS,n
IgD,0.19285550500778428,0.2717276959164277,0.9327308968024494,1.2406755246079182,30
IgA,0.2587811578987291,0.2717276959164277,0.9275892482810668,1.1261016331917983,363824
IgE,0.2713999230691553,0.22300002082450082,0.9854524057662806,1.1099178335908366,696
other,0.27281309565979345,0.2717276959164277,1.1543754303784608,1.1832258083637575,45469
IgG,0.2766522435813211,0.30804674017099487,0.8972974811191793,1.100082184838314,242978
IgM,0.27968714087097285,0.2717276959164277,1.1299039653749148,1.1667484710791576,807553
