isotype,n_total,n_sampled,n_front,pct_front,hv2d_proxy,mean_phi_S,mean_phi_A,mean_phi_R,min_phi_A,min_phi_R,min_phi_S
IgM,807553,100000,82,0.082,0.31174705773031824,0.10561504226478867,0.13435319710391067,0.3567757922196643,0.019735000080812835,0.09813544526985928,0.008962368064184496
IgG,242978,100000,85,0.085,0.5099815464874439,0.13190066793486677,0.1504928703573719,0.388775873297571,0.0,0.0,0.0
IgA,363824,100000,90,0.09,0.784940562777378,0.1284930176656814,0.16184112041968804,0.37183331413387827,0.0,0.10269123607942165,0.0
other,45469,45469,61,0.13415733796652665,0.49173094494250624,0.10155981335106307,0.13746192063702695,0.37857511173888164,0.012749212613976702,0.1149878793690531,0.008962368064184496
IgE,696,696,23,3.3045977011494254,0.3677379435073405,0.1262965681143963,0.19639209743512856,0.4571646441138301,0.053306032556634346,0.21048770464889774,0.0
IgD,30,30,6,20.0,0.2396021591796016,0.11954048309893234,0.17277810929169793,0.4453051659748846,0.10222555180886596,0.33179574323679245,0.008962368064184496
