estimator,lambda_S,lambda_R,ci_S_lo,ci_S_hi,ci_R_lo,ci_R_hi,r2,n,approach
NNLS,0.003030417749785767,0.0,0.002758595418258652,0.0033109483700338956,0.0,0.0,0.0003291920416345073,1415760,germline_anchored_delta
Huber,0.0,0.0,NaN,NaN,NaN,NaN,NaN,1415760,germline_anchored_delta
