lineage,v_gene,donor,lambda_S,lambda_R,r2,n_edges
arrow_trick_weather_require_enough_neither_nominee_dinosaur,IGHV3-74,09,0.0,0.0,-0.012868894220142257,5
athlete_beach_stone_arctic_ski_wrestle_address_crouch,IGHV3-48,02,0.0,0.0,-0.015625403295993934,4
atom_garlic_section_word_wash_learn_nothing_alone,IGHV3-74,09,0.04745795057286455,1.1903184582032096,0.10281589213317699,9
attack_fruit_fruit_much_exit_fabric_coast_error,IGHV3-7,07,0.0,0.0,-0.176641739355482,5
attend_bomb_access_captain_knock_song_lesson_phone,IGHV1-3,02,0.4570051632755563,0.0,0.3308630534423195,7
attitude_special_soul_nerve_boy_dinner_stamp_common,IGHV5-51,02,0.25866749185824717,0.35433073987472974,-0.38233821915113664,8
author_final_wrap_employ_gown_novel_fragile_frequent,IGHV3-53,03,0.11142784739247448,0.0,0.06339826923059,7
auto_foam_inside_street_have_orange_dilemma_depart,IGHV3-53,01,0.0,0.0,-0.054692703684628086,7
awkward_charge_modify_word_intact_clog_ski_garage,IGHV1-3,01,0.5143121411365552,0.0,0.803370853514734,4
awkward_universe_fitness_defense_own_twenty_benefit_bind,IGHV3-7,02,0.0,0.5849069475588334,0.002361738688469006,8
bachelor_furnace_oval_trophy_absent_time_reduce_dynamic,IGHV3-48,09,0.0,0.0,-0.08763796864653273,24
badge_kite_rain_cable_fly_pipe_meat_uniform,IGHV4-4,01,0.12527673379451656,0.0,0.10885452315338406,11
badge_someone_present_animal_token_inject_foil_cereal,IGHV5-51,07,0.0,0.3800069802002853,-0.5083174375075319,5
balance_act_mention_more_prosper_town_parent_barrel,IGHV1-8,02,0.0,0.0,-0.061119014542330596,4
banana_federal_trend_female_again_visa_gun_dragon,IGHV3-74,09,0.018282204423245504,2.6523099250305395,0.1362885738972246,4
banana_polar_offer_bracket_sting_allow_sad_obey,IGHV3-48,07,0.0,1.9013922294999817,-0.007964355426267389,4
bar_bean_ecology_item_rail_movie_crunch_swamp,IGHV1-18,07,0.0763786518039049,0.0,0.005713742055005078,4
basic_bamboo_before_birth_addict_mention_warrior_exclude,IGHV1-8,09,0.2300010171241611,1.693390182370393,0.32148542019501136,5
