feature,coef
H_H3,-0.14835086898169764
Q_H3,0.16193915034205641
L_H3,-0.25774204222917085
Y_H3,-0.2748017562451572
IGHV4-34,-0.5714534361389442
IGHV1-18,0.14974943705446703
IGHV1-2,0.1359486502456384
IGHV1-24,-0.6481614733733698
IGHV1-3,-0.21994282546060806
IGHV1-46,-0.1951920817486819
IGHV1-58,-0.36447653162266797
IGHV1-69,-1.221256616386877
IGHV1-69-2,-1.4065749458190446
IGHV1-8,-0.3686065214895786
IGHV2-26,-0.8708175800934936
IGHV2-5,0.09928202222151837
IGHV2-70,-0.4375922498510372
IGHV2-70D,0.2751175622285988
IGHV3-11,-0.07687030885919037
IGHV3-13,0.22314046811956958
IGHV3-15,-0.024129750150328054
IGHV3-20,-0.5684603487254912
IGHV3-21,-0.2951202235863647
IGHV3-23,0.5297987524128581
IGHV3-30,-0.09580650751756986
IGHV3-30-3,-0.5422229215054236
IGHV3-33,-0.32400099279153644
IGHV3-43,0.15310422265943138
IGHV3-43D,-0.722685169694297
IGHV3-48,0.2526729334210151
IGHV3-49,0.10686204800182368
IGHV3-53,-0.12350434043430442
IGHV3-64,0.2343445505256024
IGHV3-64D,0.23392659661099144
IGHV3-66,0.210159142615813
IGHV3-7,0.7264189820046651
IGHV3-72,1.776869536524129
IGHV3-73,-0.006119723366144594
IGHV3-74,0.9180056932687188
IGHV3-9,-0.04750338592744814
IGHV4-30-4,-0.4099446730977264
IGHV4-31,-0.4542335816848809
IGHV4-34,-0.5714534361389442
IGHV4-38-2,0.13194113048428385
IGHV4-39,0.08570249860755176
IGHV4-4,0.0393838849632351
IGHV4-59,0.22067968853245035
IGHV4-61,-0.08132113933207924
IGHV4-NL1,0.4783522934845249
IGHV5-10-1,-0.81217383081035
IGHV5-51,0.049755168159794416
IGHV6-1,0.2946096796202952
IGHV7-4-1,0.05621890969408476
