v_gene,mean_delta,median_delta,n_lineages
IGHV4-39,-0.5239098167878988,-0.43775595725393246,11
IGHV3-23,-0.380946979753811,-0.33193436265948506,11
IGHV3-48,-0.26318209387825986,-0.01815028401340557,21
IGHV5-51,-0.13260262240301923,-0.1703159997436803,17
IGHV3-74,0.04888782222092442,0.02256803486013978,29
IGHV3-7,0.1805991869670133,0.39469827424347936,20
IGHV1-18,0.26360375356587673,0.7656112604672698,11
IGHV3-53,0.2786589419642979,0.08064244023006531,12
