isotype,n,mean_alpha,mean_beta,mean_gamma,median_alpha,median_beta,median_gamma,std_alpha,std_beta,std_gamma
IgM,807553,0.9273533900550737,0.057794466640454505,0.014852143304471937,0.9570428576537957,0.02487840843526306,0.0,0.09797633901438438,0.09069352091403433,0.034857694450280634
IgG,242978,0.9492073983945577,0.034315695747730315,0.016476905857712106,0.965573938141706,0.018932580965660584,0.0,0.06529208840442416,0.054255102414513104,0.03217497615419298
IgA,363824,0.9487770909461581,0.036949725658825545,0.01427318339501623,0.9678616779986717,0.018130247468695244,0.0,0.07394485394562589,0.06418611037044034,0.031887334801802544
